author_year,covidence_review_id,outcome_category,effect_size_id,plain_language_outcome,plain_language_exposure,moderator_level,moderator_category,risk,reported_k,reported_n,reported_r,reported_cilb,reported_ciub,reported_i2,reported_sig,use_effect,main_effect,moderator_age,raw_value,raw_cilb,raw_ciub,std_eff_name,term,type,reanalysis_estimate,reanalysis_std.error,reanalysis_statistic,reanalysis_p.value,reanalysis_conf.low,reanalysis_conf.high,reanalysis_k,reanalysis_i2,reanalysis_n,reanalysis_n_max,reanalysis_conf.low_999,reanalysis_conf.high_999,eggers_z,eggers_p,eggers_b,eggers_ci_l,eggers_ci_u,tes_obser,tes_expect,tes_ratio,tes_power,tes_p,tes_theta,tes_thetalim,source,r,n,k,i2,std.err,cilb95,ciub95,cilb999,ciub999,certainty
"Liao, 2014",8365,physical health,8365_001,Body composition,Intervention: Screentime reduction,overall,intervention type,bold,5,389,-0.07677274355477531,-0.17429087548589797,0.02249430684902709,0,0.3,TRUE,TRUE,All,-0.154,-0.354,0.045,d,overall,summary,-0.08167125899273281,0.04284912602844814,-1.9060192485258651,0.05664770836257951,-0.16565400277750897,0.0023114847920433362,5,0,541,222,-0.2226674536104072,0.059324935624941594,NA,NA,NA,NA,NA,0,0.686636291113343,0,,1,-0.08167125899273281,NA,reanalysis,-0.08167125899273281,541,5,0,0.04284912602844814,-0.16565400277750897,0.0023114847920433362,-0.2226674536104072,0.059324935624941594,unclear
"Marshall, 2004",8556,physical health,8556_122,Body composition,TV programs and movies: General,overall,overall,bold,52,44707,0.066,0.056,0.078,69.1470054446461,1,NA,NA,All,0.066,0.056,0.078,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,0.066,44707,52,69.1470054446461,0.005612244897959183,0.056,0.078,NA,NA,unclear
"Marshall, 2004",8556,physical health,8556_129,Body composition,TV programs and movies: General,BMI,adiposity measure,bold,19,29382,0.068,0.04,0.096,NA,1,NA,NA,All,0.068,0.04,0.096,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,0.068,29382,19,NA,0.014285714285714287,0.04,0.096,NA,NA,unclear
"Marshall, 2004",8556,physical health,8556_143,Body composition,TV programs and movies: General,Other,adiposity measure,bold,2,1252,0.175,0.086,0.264,NA,1,NA,NA,All,0.175,0.086,0.264,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,0.175,1252,2,NA,0.045408163265306126,0.086,0.264,NA,NA,unclear
"Marshall, 2004",8556,physical health,8556_119,Body composition,TV programs and movies: General,13-18,age,bold,12,3196,0.057,0.037,0.077,0,1,TRUE,TRUE,Adolescents,0.057,0.037,0.077,r,overall,summary,0.06234157046666848,0.017607344924014282,3.5406570800826502,3.9913196812024304e-4,0.02783180855222636,0.0968513323811106,12,0.040865670955931244,3196,1007,0.004404131323601082,0.12027900960973588,1.6758151258170233,0.09377441042407238,0.008620082022181959,-0.06303623513927539,0.08027639918363932,1,2.0805404651096113,0.4806443406268072,,0.9197343218833602,0.06234157046666848,NA,reanalysis,0.06234157046666848,3196,12,0.040865670955931244,0.017607344924014282,0.02783180855222636,0.0968513323811106,0.004404131323601082,0.12027900960973588,meets criteria
"Marshall, 2004",8556,physical health,8556_126,Body composition,TV programs and movies: General,7-12,age,bold,24,18788,0.076,0.049,0.103,0,1,NA,NA,Children,0.076,0.049,0.103,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,0.076,18788,24,0,0.013775510204081631,0.049,0.103,NA,NA,unclear
"Marshall, 2004",8556,physical health,8556_138,Body composition,TV programs and movies: General,0-6,age,bold,4,2047,0.146,0.089,0.203,0,1,TRUE,TRUE,Young children,0.146,0.089,0.203,r,overall,summary,0.1493176339147435,0.05448381922538131,2.7405867657160097,0.006132958676594992,0.04253131049280519,0.25610395733668184,4,77.31811726331061,2047,1031,-0.029962829680146547,0.32859809750963354,NA,NA,NA,NA,NA,2,2.439773548446472,0.8197482103507113,,0.8709022893075855,0.1493176339147435,NA,reanalysis,0.1493176339147435,2047,4,77.31811726331061,0.05448381922538131,0.04253131049280519,0.25610395733668184,-0.029962829680146547,0.32859809750963354,unclear
"Marshall, 2004",8556,health behaviour,8556_085,Physical activity: General,TV programs and movies: General,13-18,age,plain,16,14630,-0.113,-0.09,-0.136,NA,1,TRUE,TRUE,Adolescents,-0.113,-0.09,-0.136,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,-0.113,14630,16,NA,-0.011734693877551024,-0.09,-0.136,NA,NA,unclear
"Marshall, 2004",8556,health behaviour,8556_093,Physical activity: General,TV programs and movies: General,7-12,age,plain,9,84347,-0.09,-0.082,-0.098,0,1,TRUE,TRUE,Children,-0.09,-0.082,-0.098,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,-0.09,84347,9,0,-0.004081632653061225,-0.082,-0.098,NA,NA,unclear
"Marshall, 2004",8556,health behaviour,8556_106,Physical activity: General,TV programs and movies: General,0-6,age,plain,3,631,-0.046,-0.153,0.06,52.38095238095239,0.3,TRUE,TRUE,Young children,-0.046,-0.153,0.06,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,-0.046,631,3,52.38095238095239,0.05433673469387755,-0.153,0.06,NA,NA,unclear
"Marshall, 2004",8556,health behaviour,8556_092,Physical activity: General,TV programs and movies: General,overall,overall,plain,39,141505,-0.096,-0.08,-0.112,73.01136363636364,1,TRUE,TRUE,All,-0.096,-0.08,-0.112,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,-0.096,141505,39,73.01136363636364,-0.00816326530612245,-0.08,-0.112,NA,NA,unclear
"Marshall, 2004",8556,physical health,8556_136,Body composition,Video games: General,overall,overall,bold,6,1722,0.07,-0.048,0.188,74.48979591836735,0.3,NA,NA,All,0.07,-0.048,0.188,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,0.07,1722,6,74.48979591836735,0.06020408163265306,-0.048,0.188,NA,NA,unclear
"Marshall, 2004",8556,health behaviour,8556_086,Physical activity: General,Video games: General,overall,overall,plain,10,119942,-0.104,-0.08,-0.128,68.19787985865725,1,TRUE,TRUE,All,-0.104,-0.08,-0.128,r,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,reported,-0.104,119942,10,68.19787985865725,-0.012244897959183675,-0.08,-0.128,NA,NA,unclear
"McArthur, 2012",14243,education,14243_003,Literacy: Phonics,Intervention: Literacy (phonics; via computer),overall,overall,plain,4,124,0.07478994824163424,-0.09950371902099893,0.24709290725239563,0,0.3,TRUE,TRUE,All,0.15,-0.2,0.51,d,overall,summary,0.15220902918440368,0.08878529727373562,1.7143494909424606,0.08646455888567324,-0.021806955828800323,0.3262250141976077,4,0,124,50,-0.1399413648582792,0.44435942322708655,NA,NA,NA,NA,NA,0,0.5510886172202114,0,,1,0.15220902918440368,NA,reanalysis,0.15220902918440368,124,4,0,0.08878529727373562,-0.021806955828800323,0.3262250141976077,-0.1399413648582792,0.44435942322708655,unclear
"Bochner, 2015",15101,physical health,15101_001,Body composition,Video games: Physically active,overall,overall,bold,7,588,-0.039968038348871575,-0.12403473458920847,0.039968038348871575,0,0.3,NA,NA,All,-0.08,-0.25,0.08,d,overall,summary,-0.05096144006079581,0.04136196650423327,-1.2320845541901413,0.21791750054583975,-0.13202940473884509,0.030106524617253466,7,0,588,322,-0.1870640965100484,0.08514121638845679,NA,NA,NA,NA,NA,0,0.5286909752856832,0,,1,-0.05096144006079581,NA,reanalysis,-0.05096144006079581,588,7,0,0.04136196650423327,-0.13202940473884509,0.030106524617253466,-0.1870640965100484,0.08514121638845679,unclear
"Liu, 2016",15690,psychology,15690_018,Psychological health: Depression,Screen use: General,overall,overall,bold,21,127714,0.04247269006706995,0.011084096886732408,0.07443116382839295,82.5,1,TRUE,TRUE,All,1.12,1.03,1.22,or,overall,summary,0.06199146787996729,0.01098995191298002,5.64074059384649,1.69320292570336e-8,0.04045155793869938,0.0835313778212352,21,91.59135337380668,138942,39612,0.025828737332495876,0.0981541984274387,0.4152038473970019,0.6779926825603038,0.056107264872184454,0.020877617679848935,0.09133691206451997,11,13.240845264855873,0.8307626726215455,,0.844496106574111,0.06199146787996729,NA,reanalysis,0.06199146787996729,138942,21,91.59135337380668,0.01098995191298002,0.04045155793869938,0.0835313778212352,0.025828737332495876,0.0981541984274387,meets criteria
"de Oliveira, 2016",15743,physical health,15743_005,Cardiometabolic health: Metabolic Syndrome,Screen use: General,overall,overall,bold,6,3881,0.06826424901792992,-0.035351766822455354,0.1721682148605621,37,0.3,TRUE,TRUE,Adolescents,1.2,0.91,1.59,or,overall,summary,0.17230274501881582,0.0514183274271511,3.350998634930947,8.052069931241006e-4,0.07152467511631162,0.27308081492132,6,90.19496785853678,3893,1014,0.003109364131171466,0.34149612590646017,NA,NA,NA,NA,NA,4,4.649518673730504,0.8603041047237331,,0.8735945080323568,0.17230274501881582,NA,reanalysis,0.17230274501881582,3893,6,90.19496785853678,0.0514183274271511,0.07152467511631162,0.27308081492132,0.003109364131171466,0.34149612590646017,unclear
"Zhang, 2016",15853,physical health,15853_027,Body composition,TV programs and movies: General,overall,overall,bold,24,106169,0.1434765455005599,0.10653627459278282,0.178961678642193,79.2,1,TRUE,TRUE,Children,1.47,1.33,1.62,or,overall,summary,0.11687511302833983,0.01623213286774684,7.200231416326689,6.011045172751835e-13,0.08506071721528717,0.14868950884139248,24,96.17326290991419,104911,21540,0.06346284591789042,0.17028738013878925,-0.6865277339320502,0.4923803815708057,0.14282490859422994,0.0620480580834179,0.223601759105042,21,20.37649481663681,1.0305992364719232,,0.4970227206040915,0.11687511302833983,0.07763108959373817,reanalysis,0.11687511302833983,104911,24,96.17326290991419,0.01623213286774684,0.08506071721528717,0.14868950884139248,0.06346284591789042,0.17028738013878925,meets criteria
