Title,Authors,Published Year,Journal,Volume,Issue,Pages,DOI
Effectiveness of health-promoting media literacy education: a systematic review,"Bergsma, L. J.; Carney, M. E.",2008,Health Education Research,23,3,522-542,
"Online communication, social media and adolescent wellbeing: A systematic narrative review","Best, Paul; Manktelow, Roger; Taylor, Brian",2014,Children and Youth Services Review,41,,27-36,10.1016/j.childyouth.2014.03.001
Screen media use and ADHD-related behaviors: Four decades of research,"Beyens, Ine; Valkenburg, Patti M.; Piotrowski, Jessica Taylor",2018,Proceedings of the National Academy of Sciences of the United States of America,115,40,9875-9881,10.1073/pnas.1611611114
Active video games to promote physical activity in children and youth: A systematic review,"Biddiss, E.; Irwin, J.",2010,Archives of Pediatrics and Adolescent Medicine,164,7,664-672,
Interventions designed to reduce sedentary behaviours in young people: a review of reviews,"Biddle, S. J.; Petrolini, I.; Pearson, N.",2014,British journal of sports medicine,48,3,182-186,
Sedentary behaviour and adiposity in youth: a systematic review of reviews and analysis of causality,"Biddle, Stuart J. H.; García Bengoechea, Enrique; Wiesner, Glen",2017,The International Journal Of Behavioral Nutrition And Physical Activity,14,1,43-43,10.1186/s12966-017-0497-8
"Posture, Musculoskeletal Activities, and Possible Musculoskeletal Discomfort Among Children Using Laptops or Tablet Computers for Educational Purposes: A Literature Review","Binboga, E.; Korhan, O.",2014,Journal of Science Education and Technology,23,5,605-616,
Assessing the Internal and External Validity of Mobile Health Physical Activity Promotion Interventions: A Systematic Literature Review Using the RE-AIM Framework,"Blackman, K. C. A.; Zoellner, J.; Berrey, L. M.; Alexander, R.; Fanning, J.; Hill, J. L.; Estabrooks, P. A.",2013,Journal of Medical Internet Research,15,10,81-95,
Use of Technology for HIV Prevention Among Adolescent and Adult Women in the United States,"Blackstock, Oni J.; Patel, Viraj V.; Cunningham, Chinazo O.",2015,Current HIV/AIDS Reports,12,4,489-499,10.1007/s11904-015-0287-3
Determinants of fruit and vegetable consumption among 6-12-year-old children and effective interventions to increase consumption,"Blanchette, L.; Brug, J.",2005,Journal of Human Nutrition and Dietetics,18,6,431-443,
Evidence for increasing physical activity in children with physical disabilities: a systematic review,"Bloemen, M.; Van Wely, L.; Mollema, J.; Dallmeijer, A.; de Groot, J.; Fit Future, Consortium",2017,Developmental Medicine and Child Neurology,59,10,1004-1010,10.1111/dmcn.13422
Interventions to prevent or treat obesity in preschool children: A review of evaluated programs,"Bluford, D. A. A.; Sherry, B.; Scanlon, K. S.",2007,Obesity,15,6,1356-1372,
Digital literacy practices among youth populations: A review of the literature,"Blummer, Barbara",2008,Education Libraries,31,1,38-45,
Psychological interventions in the treatment of childhood obesity: what we know and need to find out,"Bogle, V.; Sykes, C.",2011,Journal of health psychology,16,7,997-1014,
Commercial video games as a resource for mental health: A systematic literature review,"Boldi, A; Rapp, A",,BEHAVIOUR & INFORMATION TECHNOLOGY,,,,10.1080/0144929X.2021.1943524
Does iPad Use Support Learning in Students Aged 9-14 Years? A Systematic Review,"Boon, Helen J.; Boon, Lucy; Bartle, Toby",2021,Australian Educational Researcher,48,3,525-541,http://dx.doi.org/10.1007/s13384-020-00400-0
The impact of mobile application features on children's language and literacy learning: a systematic review,"Booton, SA; Hodgkiss, A; Murphy, VA",,COMPUTER ASSISTED LANGUAGE LEARNING,,,,10.1080/09588221.2021.1930057
Measuring and Influencing Physical Activity with Smartphone Technology: A Systematic Review,"Bort-Roig, J.; Gilson, N. D.; Puig-Ribera, A.; Contreras, R. S.; Trost, S. G.",2014,Sports Medicine,44,5,671-686,
Cyberbullying and adolescent mental health: systematic review,"Bottino, S. M.; Bottino, C. M.; Regina, C. G.; Correia, A. V.; Ribeiro, W. S.",2015,Cadernos de saude publica,31,3,463-475,
Food advertising to children and its effects on diet: Review of recent prevalence and impact data,"Boyland, E. J.; Whalen, R.",2015,Pediatric Diabetes,16,5,331-337,
Engagement in digital entertainment games: A systematic review,"Boyle, E. A.; Connolly, T. M.; Hainey, T.; Boyle, J. M.",2012,Computers in Human Behavior,28,3,771-780,
"Computer assisted instruction with deaf children: Panacea, placebo or poison?","Braden, J. P.; Shaw, S. R.",1987,American Annals of the Deaf,132,3,189-193,
Digital Behavior Change Interventions for Younger Children With Chronic Health Conditions: Systematic Review,"Brigden, A.; Anderson, E.; Linney, C.; Morris, R.; Parslow, R.; Serafimova, T.; Smith, L.; Briggs, E.; Loades, M.; Crawley, E.",2020,J Med Internet Res,22,7,e16924,10.2196/16924
Does Video Gaming Have Impacts on the Brain: Evidence from a Systematic Review,"Brilliant, T. D.; Nouchi, R.; Kawashima, R.",2019,Brain Sciences,9,10,,10.3390/brainsci9100251
A systematic review of the relationship between sitting and upper quadrantmusculoskeletal pain in children and adolescents,"Brink, Y.; Louw, Q. A.",2013,Manual Therapy,18,4,281-288,
Mass media interventions for preventing smoking in young people,"Brinn, M. P.; Carson, K. V.; Esterman, A. J.; Chang, A. B.; Smith, B. J.",2010,Cochrane database of systematic reviews (Online),11,,CD001006,
Are computers the solution to support development in children in need of special support?,"Brodin, J.; Lindstrand, P.",2004,Technology & Disability,16,3,137-145,
Systematic review of school-based interventions that focus on changing dietary intake and physical activity levels to prevent childhood obesity: an update to the obesity guidance produced by the National Institute for Health and Clinical Excellence (Structured abstract),"Brown, T.; Summerbell, C.",2009,Obesity Reviews,10,1,110-141,
The influence of violent media on children and adolescents: A public-health approach,"Browne, K. D.; Hamilton-Giachritsis, C.",2005,Lancet,365,9460,702-710,
Promoting physical activity amongst children outside of physical education classes: A systematic review integrating intervention studies and qualitative studies,"Brunton, G.; Thomas, J.; Harden, A.; Rees, R.; Kavanagh, J.; Oliver, S.; Shepherd, J.; Oakley, A.",2005,Health Education Journal,64,4,323-338,
Social Media and Mobile Apps for Health Promotion in Australian Indigenous Populations: Scoping Review,"Brusse, C.; Gardner, K.; McAullay, D.; Dowden, M.",2014,Journal of Medical Internet Research,16,12,56-70,
Measurement of television viewing in children and adolescents: A systematic review,"Bryant, M. J.; Lucove, J. C.; Evenson, K. R.; Marshall, S.",2007,Obesity Reviews,8,3,197-209,
The Effects of Digital Marketing of Unhealthy Commodities on Young People: A Systematic Review,"Buchanan, Limin; Kelly, Bridget; Yeatman, Heather; Kariippanon, Kishan",2018,Nutrients,10,2,148,http://dx.doi.org/10.3390/nu10020148
Mobile phone-based behavioural interventions for health: A systematic review,"Buhi, Eric R; Trudnak, Tara E; Martinasek, Mary P; Oberne, Alison B; Fuhrmann, Hollie J; McDermott, Robert J",2013,Health Education Journal,72,5,564-583,
"The effects of television advertising on materialism, parent-child conflict, and unhappiness: A review of research","Buijzen, M.; Valkenburg, P. M.",2003,Journal of Applied Developmental Psychology,24,4,437-456,
A systematic review of randomised control trials of sexual health interventions delivered by mobile technologies,"Burns, K.; Keating, P.; Free, C.",2016,Bmc Public Health,16,,,
Antecedents and consequences of problematic smartphone use: A systematic literature review of an emerging research area,"Busch, PA; McCarthy, S",2021,COMPUTERS IN HUMAN BEHAVIOR,114,,,10.1016/j.chb.2020.106414
Interventions that stimulate healthy sleep in school-aged children: a systematic literature review,"Busch, V.; Altenburg, T. M.; Harmsen, I. A.; Chinapaw, M. J.",2017,European Journal of Public Health,27,1,53-65,
The Effects of Adolescent Health-Related Behavior on Academic Performance A Systematic Review of the Longitudinal Evidence,"Busch, V.; Loyen, A.; Lodder, M.; Schrijvers, A. J. P.; van Yperen, T. A.; de Leeuw, J. R. J.",2014,Review of Educational Research,84,2,245-274,
Quality of life in overweight and obese children and adolescents: a literature review,"Buttitta, M.; Iliescu, C.; Rousseau, A.; Guerrien, A.",2014,"Quality of life research : an international journal of quality of life aspects of treatment, care and rehabilitation",23,4,1117-1139,
"Activity- and Occupation-Based Interventions to Support Mental Health, Positive Behavior, and Social Participation for Children and Youth: A Systematic Review","Cahill, Susan M.; Egan, Brad E.; Seber, Joanna",2020,American Journal of Occupational Therapy,74,2,Jan-28,10.5014/ajot.2020.038687
Electronic media use and sleep in school-aged children and adolescents: A review,"Cain, N.; Gradisar, M.",2010,Sleep Medicine,11,8,735-742,
"Systematic reviews of the evidence on the nature, extent and effects of food marketing to children. A retrospective summary","Cairns, G.; Angus, K.; Hastings, G.; Caraher, M.",2013,Appetite,62,,209-215,
The Use of Mobile Phones in Classrooms: A Systematic Review,"Calderon-Garrido, D.; Ramos-Pardo, F. J.; Suarez-Guerrero, C.",2022,INTERNATIONAL JOURNAL OF EMERGING TECHNOLOGIES IN LEARNING,17,6,194-210,10.3991/ijet.v17i06.29181
Delivering in-school interventions to improve dietary behaviours amongst 11- to 16-year-olds: A systematic review,"Calvert, S.; Dempsey, R. C.; Povey, R.",2019,Obesity Reviews,20,4,543-553,http://dx.doi.org/10.1111/obr.12797
The Teacher-Student Relationship in the Use of Social Network Sites for Educational Purposes: A Systematic Review,"Camas Garrido, Laura; Valero Moya, Aída; Vendrell Morancho, Mireia",2021,Journal of New Approaches in Educational Research,10,1,137-156,
Interventions for preventing obesity in children,"Campbell, K.; Waters, E.; O'Meara, S.; Kelly, S.; Summerbell, C.",2002,Cochrane database of systematic reviews (Online),,2,CD001871,
The Benefits of Active Video Games for Educational and Physical Activity Approaches: A Systematic Review,"Campos, C. M.; Fernandez, H. D.",2016,Journal of New Approaches in Educational Research,5,2,115-122,
Can active video games be part of the solution to promote physical activity in youth? A systematic review,"Carmo, J. L. F.; Palmeira, A. L.",2014,Archives of Exercise in Health & Disease,4,1,216-226,
Interventions for tobacco use prevention in Indigenous youth,"Carson Kristin, V.; Brinn Malcolm, P.; Labiszewski Nadina, A.; Peters, Matthew; Chang Anne, B.; Veale, Antony; Esterman Adrian, J.; Smith Brian, J.",2012,Cochrane Database of Systematic Reviews,,8,,10.1002/14651858.CD009325.pub2
Mass media interventions for preventing smoking in young people,"Carson, Kristin V.; Ameer, Faisal; Sayehmiri, Kourosh; Hnin, Khin; van Agteren, Joseph Em; Sayehmiri, Fatemeh; Brinn, Malcolm P.; Esterman, Adrian J.; Chang, Anne B.; Smith, Brian J.",2017,The Cochrane Database Of Systematic Reviews,6,,CD001006,10.1002/14651858.CD001006.pub3
Systematic review of sedentary behaviour and health indicators in school-aged children and youth: an update,"Carson, V.; Hunter, S.; Kuzik, N.; Gray, C. E.; Poitras, V. J.; Chaput, J. P.; Saunders, T. J.; Katzmarzyk, P. T.; Okely, A. D.; Connor Gorber, S.; Kho, M. E.; Sampson, M.; Lee, H.; Tremblay, M. S.",2016,"Applied physiology, nutrition, and metabolism = Physiologie appliquee, nutrition et metabolisme",41,6 Supplement 3,S240-S265,
Systematic review of sedentary behavior and cognitive development in early childhood,"Carson, V.; Kuzik, N.; Hunter, S.; Wiebe, S. A.; Spence, J. C.; Friedman, A.; Tremblay, M. S.; Slater, L. G.; Hinkley, T.",2015,Preventive Medicine,78,,115-122,
Family functioning and information and communication technologies: How do they relate? A literature review,"Carvalho, J.; Francisco, R.; Relvas, A. P.",2015,Computers in Human Behavior,45,,99-108,
Reducing young drivers' crash risk: Are we there yet? An ecological systems-based review of the last decade of research,"Cassarino, M.; Murphy, G.",2018,Transportation Research Part F-Traffic Psychology and Behaviour,56,,54-73,10.1016/j.trf.2018.04.003
Brief report on a systematic review of youth violence prevention through media campaigns: Does the limited yield of strong evidence imply methodological challenges or absence of effect?,"Cassidy, Tali; Bowman, Brett; McGrath, Chloe; Matzopoulos, Richard",2016,Journal of Adolescence,52,,22-26,10.1016/j.adolescence.2016.07.002
Social Media Usage and Development of Psychiatric Disorders in Childhood and Adolescence: A Review.,"Cataldo, Ilaria; Lepri, Bruno; Neoh, Michelle Jin Yee; Esposito, Gianluca",2021,Frontiers in psychiatry,11,,508595,10.3389/fpsyt.2020.508595
The Effect of Technology-Based Programmes on Changing Health Behaviours of Adolescents: Systematic Review,"Celik, R.; Toruner, E. K.",2019,Comprehensive child and adolescent nursing,,,Jan-19,http://dx.doi.org/10.1080/24694193.2019.1599083
The Effect of Technology-Based Programmes on Changing Health Behaviours of Adolescents: Systematic Review.,"Celik, Rukiye; Toruner, Ebru Kilicarslan",2020,Comprehensive child and adolescent nursing,43,2,92-110,10.1080/24694193.2019.1599083
Spanish-Language Consumer Health Information Technology Interventions: A Systematic Review,"Chaet, Alexis V.; Morshedi, Bijan; Wells, Kristen J.; Barnes, Laura E.; Valdez, Rupa",2016,Journal Of Medical Internet Research,18,8,e214-e214,10.2196/jmir.5794
"Reducing the volume, exposure and negative impacts of advertising for foods high in fat, sugar and salt to children: A systematic review of the evidence from statutory and self-regulatory actions and educational measures","Chambers, S. A.; Freeman, R.; Anderson, A. S.; MacGillivray, S.",2015,Preventive Medicine,75,,32-43,
A systematic review of school-based alcohol and other drug prevention programs facilitated by computers or the Internet,"Champion, K. E.; Newton, N. C.; Barrett, E. L.; Teesson, M.",2013,Drug and Alcohol Review,32,2,115-123,
ICT-supported social work interventions with youth: A critical review,"Chan, C.",2018,Journal of Social Work,18,4,468-488,10.1177/1468017316651997
"Adventure therapy for child, adolescent, and young adult cancer patients: a systematic review","Chan, Ying Tung; Lau, Hoi Yee; Chan, Wai Yan; Cheung, Chi Wo; Lui, Winnie; Chane-Thu Yuk Sze, Jacqueline; Dai Wen, Lam; To Ka, Ching; Cheng Hui, Lin",2021,Supportive Care in Cancer,29,1,35-48,http://dx.doi.org/10.1007/s00520-020-05642-3
Using a research framework to identify knowledge gaps in research on food marketing to children in Australia,"Chapman, Kathy; Kelly, Bridget; King, Lesley",2009,Australian And New Zealand Journal Of Public Health,33,3,253-257,10.1111/j.1753-6405.2009.00384.x
Smoking in the movies increases adolescent smoking: a review,"Charlesworth, Annemarie; Glantz, Stanton A",2005,Pediatrics,116,6,1516-1528,
Digital Interventions on Healthy Lifestyle Management: Systematic Review,"Chatterjee, A.; Prinz, A.; Gerdes, M.; Martinez, S.",2021,JOURNAL OF MEDICAL INTERNET RESEARCH,23,11,,10.2196/26931
Use of Digital Media Technology for Primary Prevention of STIs/HTV in Youth,"Chavez, N. R.; Shearer, L. S.; Rosenthal, S. L.",2014,Journal of Pediatric and Adolescent Gynecology,27,5,244-257,
Effectiveness of Digital Tools to Support Pupils' Reading in Secondary School: A Systematised Review,"Chen, Danlei; Macleod, Gale",2021,International Journal of Mobile and Blended Learning,13,2,Jan-16,http://dx.doi.org/10.4018/IJMBL.2021040101
Efficacy of technology-based interventions for obesity prevention in adolescents: A systematic review,"Chen, J. L.; Wilkosz, M. E.",2014,"Adolescent Health, Medicine and Therapeutics",5,,159-170,
Sedentary lifestyle as a risk factor for low back pain: a systematic review,"Chen, S. M.; Liu, M. F.; Cook, J.; Bass, S.; Lo, S. K.",2009,International Archives of Occupational and Environmental Health,82,7,797-806,
Relationship between young peoples' sedentary behaviour and biomedical health indicators: A systematic review of prospective studies,"Chinapaw, M. J. M.; Proper, K. I.; Brug, J.; van Mechelen, W.; Singh, A. S.",2011,Obesity Reviews,12,7,e621-e632,
Smartphone Apps for Mindfulness Interventions for Suicidality in Asian Youths: Literature Review,"Choo, C. C.; Burton, A. A.",2018,JMIR Mhealth Uhealth,6,6,e139,10.2196/mhealth.8304
Mobile Phone Apps for Behavioral Interventions for At-Risk Drinkers in Australia: Literature Review,"Choo, C. C.; Burton, A. A. D.",2018,Jmir Mhealth and Uhealth,6,2,7,10.2196/mhealth.6832
Can games change children’s eating behaviour? A review of gamification and serious games,"Chow, Ching Yue; Riantiningtyas, Reisya Rizki; Kanstrup, Mie Bojer; Papavasileiou, Maria; Liem, Gie Djin; Olsen, Annemarie",2020,Food Quality and Preference,80,,,10.1016/j.foodqual.2019.103823
Computer-Based Graphic Organizers for Students with LD: A Systematic Review of Literature,"Ciullo, S.; Reutebuch, C.",2013,Learning Disabilities Research & Practice,28,4,196-210,
Just telling and selling: current limitations in the use of digital media in public health A scoping review,"Clar, C.; Dyakova, M.; Curtis, K.; Dawson, C.; Donnelly, P.; Knifton, L.; Clarke, A.",2014,Public Health,128,12,1066-1075,
A systematic review of online youth mental health promotion and prevention interventions,"Clarke, A. M.; Kuosmanen, T.; Barry, M. M.",2015,Journal of youth and adolescence,44,1,90-113,
New perspectives on the contribution of digital technology and social media use to improve the mental wellbeing of children and young people: a state-of-the art review,"Clifton, Andre; Goodall, Deborah; Ban, Sasha; Birks, Eileen",2013,"Neonatal, Paediatric & Child Health Nursing",16,1,19-26,
Text messaging as a tool for behavior change in disease prevention and management,"Cole-Lewis, Heather; Kershaw, Trace",2010,Epidemiologic reviews,32,1,56-69,
"Behavioral determinants of physical activity across the life course: a ""DEterminants of DIet and Physical ACtivity"" (DEDIPAC) umbrella systematic literature review","Condello, G.; Puggina, A.; Aleksovska, K.; Buck, C.; Burns, C.; Cardon, G.; Carlin, A.; Simon, C.; Ciarapica, D.; Coppinger, T.; Cortis, C.; D'Haese, S.; De Craemer, M.; Di Blasio, A.; Hansen, S.; Iacoviello, L.; Issartel, J.; Izzicupo, P.; Jaeschke, L.; Kanning, M.; Kennedy, A.; Ling, F. C. M.; Luzak, A.; Napolitano, G.; Nazare, J. A.; Perchoux, C.; Pesce, C.; Pischon, T.; Polito, A.; Sannella, A.; Schulz, H.; Sohun, R.; Steinbrecher, A.; Schlicht, W.; Ricciardi, W.; MacDonncha, C.; Capranica, L.; Boccia, S.",2017,International Journal of Behavioral Nutrition and Physical Activity,14,,,
A systematic literature review of empirical evidence on computer games and serious games,"Connolly, T. M.; Boyle, E. A.; MacArthur, E.; Hainey, T.; Boyle, J. M.",2012,Computers & Education,59,2,661-686,
Writing Interventions for High School Students With Disabilities: A Review of Single-Case Design Studies,"Cook, K. B.; Bennett, K. E.",2014,Remedial and Special Education,35,6,344-355,
