author_year,outcome_category,plain_language_outcome,plain_language_exposure,age_group,original_effect_size_metric,original_effect_size,original_cilb,original_ciub,original_k,original_n,original_i2,converted_r,converted_cilb,converted_ciub,reanalysis_estimate,reanalysis_cilb,reanalysis_ciub,reanalysis_cilb999,reanalysis_ciub999,reanalysis_k,reanalysis_n,reanalysis_i2,reanalysis_eggers_p,reanalysis_eggers_cilb,reanalysis_eggers_ciub,reanalysis_tes_obser,reanalysis_tes_expect,reanalysis_tes_ratio,reanalysis_tes_p,reanalysis_tes_power,reanalysis_tes_theta
"Bartel, 2015",health behaviour,Sleep: Duration,TV programs and movies: General,Adolescents,r,-0.059,-0.159,0.041,10,9798,NA,-0.059,-0.159,0.041,-0.0559735677114331,-0.10243329127468478,-0.009513844148181426,-0.13397345114218873,0.022026315719322516,10,9798,78.04386564231167,0.834435253596456,-0.1411866822674133,0.04646578255024503,4,4.368050364325211,0.9157403569951583,0.7224010271238611,0.426; 0.448; 0.62; 0.648; 0.356; 0.187; 0.652; 0.085; 0.415; 0.532,-0.0559735677114331
"Bartel, 2015",health behaviour,Sleep: Time to fall asleep,TV programs and movies: General,Adolescents,r,0.01,-0.037,0.057,6,5633,NA,0.01,-0.037,0.057,0.02687193822548027,-0.01667274699490668,0.07041662344586722,-0.046233971812814675,0.09997784826377522,6,5633,42.9998248117161,NA,NA,NA,1,1.208773710655234,0.8272847028232727,0.7671828409713458,0.083; 0.184; 0.474; 0.265; 0.149; 0.053,0.02687193822548027
"Bartel, 2015",health behaviour,Sleep: Bedtime,Video games: General,Adolescents,r,0.12,0.0424,0.198,6,5916,NA,0.12,0.0424,0.198,0.10665661139612401,0.05346386453482837,0.15984935825741964,0.017352850281528928,0.19596037251071907,6,5916,67.00777723698495,NA,NA,NA,4,3.7560640101461233,1.0649445774073447,0.6028660108904145,0.59; 0.322; 0.798; 0.454; 0.674; 0.917,0.10665661139612401
"Bartel, 2015",health behaviour,Sleep: Duration,Video games: General,Adolescents,r,-0.059,-0.059,-0.059,8,3321,NA,-0.059,-0.059,-0.059,-0.05357773602284652,-0.09763854424689511,-0.009516927798797925,-0.12755015001411335,0.02039467796842033,8,3321,28.744002806672484,NA,NA,NA,2,1.8008926297675023,1.1105603781932312,0.5798972572368608,0.327; 0.057; 0.254; 0.13; 0.464; 0.176; 0.323; 0.069,-0.05357773602284652
"Bartel, 2015",health behaviour,Sleep: Time to fall asleep,Video games: General,Adolescents,r,0.031,0.031,0.031,8,5945,NA,0.031,0.031,0.031,0.031755423490473486,0.006332503259353195,0.05717834372159378,-0.010926380498245597,0.07443722747919257,8,5945,0.07901287779102499,NA,NA,NA,2,1.1156473782837666,1.792681127505233,0.30317603654840425,0.07; 0.127; 0.445; 0.185; 0.103; 0.082; 0.052; 0.052,0.031755423490473486
"Boyland, 2016",health behaviour,Diet: Food intake,Advertising: Unhealthy food,Children,d,0.56,0.18,0.94,13,1575,98,0.2696299255199709,0.08963769949589058,0.4253611398224214,0.23343380126225968,0.09641234362411732,0.37045525890040204,0.003392447082938732,0.46347515544158063,13,1756,90.41720434324971,0.6267939736399819,-0.26840653738655146,1.0562492642046661,8,8.740389045539084,0.915291065228159,0.7748139381912604,0.636; 0.638; 0.715; 0.701; 0.759; 0.768; 0.758; 0.599; 0.532; 0.615; 0.696; 0.648; 0.676,0.23343380126225968
"Carter, 2016",health behaviour,Sleep: Inadequate duration,Screen use: General (mobile phone at bed time),Mixed,or,2.17,1.42,3.32,7,6478,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carter, 2016",health behaviour,Sleep: Lethargy,Screen use: General (mobile phone at bed time),Mixed,or,2.72,1.32,5.61,2,1389,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Carter, 2016",health behaviour,Sleep: Poor quality,Screen use: General (mobile phone at bed time),Mixed,or,1.46,1.14,1.88,7,2673,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ferguson, 2017",psychology,Risky behavior: Sexual activity,Screen use: Sexual content,Mixed,r,0.037,0,0.073,22,11007,75.75897495,NA,NA,NA,0.03701967616782733,0.0016633744240312776,0.07237597791162338,-0.022338994160982915,0.09637834649663757,22,12107,73.88031486973725,0.7016247360737542,-0.10343521815041024,0.24387480217695634,6,7.692743767658105,0.7799557844660377,0.7754165263498708,0.362; 0.363; 0.387; 0.386; 0.383; 0.383; 0.48; 0.334; 0.374; 0.384; 0.561; 0.332; 0.302; 0.207; 0.228; 0.336; 0.297; 0.326; 0.297; 0.326; 0.417; 0.229,0.03701967616782733
"Ferguson, 2017",psychology,Risky behavior: Sexual activity,Screen use: Sexual content,Mixed,r,0.082,0.05,0.113,25,17402,76.64915353,0.082,0.05,0.113,0.08207417761578725,0.05176995358030019,0.11237840165127432,0.03119729413606863,0.13295106109550586,25,18127,75.08381243355133,0.45030885514393637,0.02519701128454735,0.20365218908492574,11,12.942221872128947,0.8499313416723663,0.7815313323152894,0.569; 0.571; 0.5; 0.463; 0.639; 0.668; 0.679; 0.716; 0.531; 0.537; 0.761; 0.212; 0.231; 0.578; 0.537; 0.536; 0.635; 0.474; 0.533; 0.709; 0.303; 0.334; 0.428; 0.465; 0.335,0.08207417761578725
"Ferguson, 2017",psychology,Risky behavior: Sexual activity (initiation of sex),Screen use: Sexual content,Mixed,r,0.079,0.039,0.118,16,17019,82.71491127,0.079,0.039,0.118,0.07810451314166666,0.03658328022872745,0.11962574605460588,0.008395718540224098,0.14781330774310925,16,17019,84.95047503707742,0.4649138448431701,0.009462290906846332,0.2178655250958759,8,8.859170417125771,0.9030190890712636,0.7655113214341069,0.826; 0.524; 0.497; 0.463; 0.627; 0.654; 0.664; 0.7; 0.526; 0.531; 0.545; 0.528; 0.745; 0.221; 0.24; 0.569,0.07810451314166666
"Hammersley, 2016",physical health,Body composition,Intervention: To promote healthy weight (obesity prevention),Mixed,d,0.05,-0.19,0.3,4,1102,63,0.024992191160203066,-0.09457419252642066,0.14834045293024462,0.07152248752266739,-0.12332537362541775,0.26637034867075254,-0.2556019396296279,0.39864691467496266,4,1102,87.04545753639644,NA,NA,NA,1,1.811634708523652,0.5519876580499641,0.9334468719603837,0.249; 0.251; 0.656; 0.656,0.07152248752266739
"Liao, 2014",physical health,Body composition,Intervention: Screentime reduction,Mixed,d,-0.154,-0.354,0.045,5,389,0,-0.07677274355477531,-0.17429087548589797,0.02249430684902709,-0.07599055330179863,-0.15997329708657476,0.007992190482977488,-0.2169867479194723,0.06500564131587505,5,541,0,NA,NA,NA,0,0.6268894494562974,0,1,0.191; 0.206; 0.097; 0.064; 0.069,-0.07599055330179863
"Marshall, 2004",physical health,Body composition,TV programs and movies: General,Mixed,r,0.066,0.056,0.078,52,44707,69.14700544,0.066,0.056,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",physical health,Body composition,TV programs and movies: General,Mixed,r,0.068,0.04,0.096,19,29382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",physical health,Body composition,TV programs and movies: General,Mixed,r,0.175,0.086,0.264,2,1252,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",physical health,Body composition,TV programs and movies: General,Mixed,r,0.041,0.03,0.052,8,15797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",physical health,Body composition,TV programs and movies: General,Adolescents,r,0.057,0.037,0.077,12,3196,0,0.057,0.037,0.077,0.06234157046666846,0.02783180855222636,0.09685133238111056,0.0044041313236013804,0.12027900960973553,12,3196,0.04086567095589526,0.09377441042407238,-0.06303623513927539,0.08027639918363932,1,2.0805404651096087,0.4806443406268079,0.91973432188336,0.091; 0.235; 0.096; 0.089; 0.089; 0.097; 0.107; 0.097; 0.107; 0.097; 0.465; 0.51,0.06234157046666846
"Marshall, 2004",physical health,Body composition,TV programs and movies: General,Mixed,r,0.076,0.049,0.103,24,18788,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",physical health,Body composition,TV programs and movies: General,Mixed,r,0.053,0.043,0.063,43,28718,NA,0.053,0.043,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",physical health,Body composition,TV programs and movies: General,Young children,r,0.146,0.089,0.203,4,2047,0,0.146,0.089,0.203,0.1493176339147435,0.042531310492805244,0.2561039573366818,-0.029962829680145603,0.32859809750963265,4,2047,77.31811726331058,NA,NA,NA,2,2.4397735484464715,0.8197482103507115,0.8709022893075855,0.386; 0.392; 0.852; 0.81,0.1493176339147435
"Marshall, 2004",physical health,Body composition,TV programs and movies: General,Mixed,r,0.262,NA,NA,1,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",health behaviour,Physical activity: General,TV programs and movies: General,Adolescents,r,-0.113,-0.136,-0.09,16,14630,NA,-0.113,-0.136,-0.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",health behaviour,Physical activity: General,TV programs and movies: General,Mixed,r,-0.097,-0.114,-0.081,35,139047,NA,-0.097,-0.114,-0.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",health behaviour,Physical activity: General,TV programs and movies: General,Mixed,r,-0.09,-0.098,-0.082,9,84347,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",health behaviour,Physical activity: General,TV programs and movies: General,Young children,r,-0.046,-0.153,0.06,3,631,52.38095238,-0.046,-0.153,0.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",health behaviour,Physical activity: General,TV programs and movies: General,Mixed,r,-0.007,-0.108,0.095,4,2458,NA,-0.007,-0.108,0.095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",health behaviour,Physical activity: General,TV programs and movies: General,Mixed,r,-0.096,-0.112,-0.08,39,141505,73.01136364,-0.096,-0.112,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",physical health,Body composition,Video games: General,Mixed,r,0.07,-0.048,0.188,6,1722,74.48979592,0.07,-0.048,0.188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall, 2004",health behaviour,Physical activity: General,Video games: General,Mixed,r,-0.104,-0.128,-0.08,10,119942,68.19787986,-0.104,-0.128,-0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wahi, 2011",physical health,Body composition,Intervention: Screen time reduction,Mixed,md,-0.1,-0.28,0.09,6,708,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tremblay, 2011",physical health,Body composition,Intervention: Screen time reduction,Mixed,md,-0.89,-1.67,-0.11,4,326,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luckner, 2012",physical health,Body composition,Screen use: General,Mixed,md,-0.27,-0.4,-0.13,8,3962,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"McArthur, 2012",education,Literacy: Phonics,Intervention: Literacy (phonics; via computer),Mixed,d,0.15,-0.2,0.51,4,124,0,0.07478994824163424,-0.09950371902099893,0.24709290725239563,0.07721736889685792,-0.1128605137858509,0.26729525157956674,-0.2418988796497244,0.39633361744344026,4,124,13.090629111275698,NA,NA,NA,0,0.3671162502147611,0,1,0.098; 0.076; 0.072; 0.122,0.07721736889685792
"Bochner, 2015",physical health,Body composition,Video games: Physically active,Mixed,d,-0.08,-0.25,0.08,7,588,0,NA,NA,NA,-0.04274184129191015,-0.12380980596995943,0.038326123386139124,-0.17884449774116207,0.09336081515734178,7,588,0,NA,NA,NA,0,0.4749083575358741,0,1,0.057; 0.061; 0.12; 0.058; 0.062; 0.054; 0.062,-0.04274184129191015
"Liu, 2016",psychology,Psychological health: Depression,Screen use: General,Mixed,or,0.88,0.67,1.14,4,12473,90.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liu, 2016",psychology,Psychological health: Depression,Screen use: General,Mixed,or,1.19,1.1,1.3,12,115241,73.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Liu, 2016",psychology,Psychological health: Depression,Screen use: General,Mixed,or,1.12,1.03,1.22,21,127714,82.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"de Oliveira, 2016",physical health,Cardiometabolic health: Metabolic Syndrome,Screen use: General,Adolescents,or,1.2,0.91,1.59,6,3881,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Zhang, 2016",physical health,Body composition,TV programs and movies: General,Children,or,1.47,1.33,1.62,24,106169,79.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2013",psychology,Cognition: Moral reasoning and perception of out-groups,Intervention: Sesame Street,Children,d,0.189,0.114,0.265,17,5837,NA,0.09408085093703687,0.056907628525347566,0.13135199254388466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2013",education,Learning: General,Intervention: Sesame Street,Children,d,0.266,0.168,0.364,21,9981,NA,0.13183906088395955,0.08370520712978544,0.1790585909901008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2013",education,Learning: General,Intervention: Sesame Street,Children,d,0.281,0.12,0.443,8,2294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2013",education,Learning: General,Intervention: Sesame Street,Children,d,0.377,0.168,0.586,4,1403,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2013",education,Learning: General,Intervention: Sesame Street,Children,d,0.46,0.194,0.727,3,615,NA,0.22414769292142694,0.09654685870926291,0.3416298688522828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2013",education,Learning: General,Intervention: Sesame Street,Children,d,0.292,0.197,0.387,24,10596,NA,0.14446837505010873,0.098025613373211,0.18997611581242357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2013",education,Learning: Literacy and numeracy,Intervention: Sesame Street,Children,d,0.284,0.165,0.403,15,7604,NA,0.14058964925182363,0.08222066728768936,0.19752982099916758,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2013",education,Learning: Physical and social environment,Intervention: Sesame Street,Children,d,0.339,0.188,0.491,13,7797,NA,0.16711635217582266,0.09358744003060149,0.2384202881820313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2005",psychology,Aggression: Towards peers,TV programs and movies: General,Children,z,0.27,0.2,0.34,15,747,NA,0.26362483547220333,0.197375320224904,0.32747739480870536,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2005",psychology,Cognition: Reducing stereotypes,TV programs and movies: General,Children,z,0.22,0.18,0.27,37,1814,NA,0.21651806149302882,0.1780808681173302,0.26362483547220333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2005",psychology,Prosocial Behavior: Altruism,TV programs and movies: General,Children,z,0.47,0.42,0.52,20,856,NA,0.43819931483276775,0.39693043200507755,0.477700012168498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mares, 2005",psychology,Social interactions: General,TV programs and movies: General,Children,z,0.22,0.21,0.3,36,2056,NA,0.21651806149302882,0.20696649972945258,0.2913126124515909,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"van Ekris, 2016",physical health,Body composition,Computer use: General,Mixed,b,0.002,-0.004,0.008,5,6971,72,0.002,-0.004,0.008,0.08373713971174009,-0.1005194139447224,0.26799369336820256,-0.22560584824190927,0.3930801276653894,5,7888,98.31611144164998,NA,NA,NA,2,3.976627690301183,0.5029387098213671,0.9936851401983322,0.895; 0.756; 0.82; 0.693; 0.812,0.08373713971174009
"van Ekris, 2016",physical health,Body composition,TV programs and movies: General,Mixed,b,0.01,-0.002,0.02,9,24257,89,0.01,-0.002,0.02,0.10970568425752952,0.024529173794012746,0.1948821947210463,-0.03329469064026408,0.2527060591553231,9,25716,97.87645486563648,NA,NA,NA,5,7.131399015636817,0.7011247006424183,0.9809830686561534,0.87; 0.907; 0.637; 0.889; 0.873; 0.78; 0.624; 0.78; 0.77,0.10970568425752952
"Chodura, 2015",education,Numeracy: General,Intervention: Mathematics,Children,d,0.77,NA,NA,12,1064,NA,NA,NA,NA,0.3828825569356161,0.2262189902198548,0.5395461236513774,0.11986463507821499,0.6459004787930173,12,1064,91.28335161810764,0.04440587015623669,0.3642162491386289,1.034680316969604,8,8.832125463703314,0.9057842342567445,0.8222375861537017,0.91; 0.577; 0.939; 0.652; 0.729; 0.565; 0.814; 0.798; 0.685; 0.851; 0.536; 0.776,0.3828825569356161
"Kroesbergen, 2003",education,Numeracy: General,Intervention: Mathematics (via computer in classrooms),Children,d,0.51,NA,NA,12,872,NA,0.24709290725239563,NA,NA,0.28095101597058764,0.13072726440729127,0.431174767533884,0.028744713138943834,0.5331573188022314,11,848,73.05103652487236,0.36755769342257066,-0.12864461623234938,0.4612948087625075,6,5.039725213042483,1.1905411002314943,0.37191763199281214,0.463; 0.158; 0.342; 0.568; 0.809; 0.857; 0.147; 0.412; 0.397; 0.205; 0.682,0.28095101597058764
"Pearce, 2016",psychology,Psychological health: Internalizing,TV programs and movies: Scary content,Mixed,z,0.18,0.14,0.22,31,12454,67.87,0.1780808681173302,0.13909244787845804,0.21651806149302882,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peng, 2011",health behaviour,Cardiometabolic health: Maximum oxygen consumption,Video games: Physically active,Children,d,2.85,2.2,3.55,9,172,NA,0.8185566924624129,0.7399400733959437,0.8712476277448775,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peng, 2011",health behaviour,Physical activity: Energy expenditure,Video games: Physically active,Children,d,2.58,2.34,2.82,11,203,NA,0.7903408851647239,0.7601731008336426,0.815683258834178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Peng, 2011",health behaviour,Physical activity: Heart rate,Video games: Physically active,Children,d,2.5,2.26,2.83,8,165,NA,0.7808688094430304,0.7488700551657237,0.8166478467909506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sadeghirad, 2016",health behaviour,Diet: Food intake (calories),Advertising: Unhealthy food,Mixed,md,20.5,8.5,32.5,1,120,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sadeghirad, 2016",health behaviour,Diet: Food intake (calories),Advertising: Unhealthy food,Children,md,27.5,-7.8,62.7,4,438,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sadeghirad, 2016",health behaviour,Diet: Food intake (calories),Advertising: Unhealthy food,Mixed,md,37.4,-16.8,91.6,3,376,87.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sadeghirad, 2016",health behaviour,Diet: Food intake (calories),Advertising: Unhealthy food,Young children,md,43,1.38,84.7,2,227,79.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sadeghirad, 2016",health behaviour,Diet: Food intake (calories),Advertising: Unhealthy food,Mixed,md,30.4,2.9,57.9,6,665,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sadeghirad, 2016",health behaviour,Diet: Food intake (grams),Advertising: Unhealthy food,Mixed,md,4.8,0.8,8.8,4,395,31.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sadeghirad, 2016",health behaviour,Diet: Unhealthy food choice,Advertising: Unhealthy food,Children,d,-0.28,-0.72,0.16,4,1174,87.7,-0.13864784453440623,-0.33871946827274163,0.07974522228289,-0.20011161471310143,-0.637610520381066,0.23738729095486313,-0.934615848185902,0.5343926187596991,4,2298,99.01053054106423,NA,NA,NA,2,3.211255035809578,0.6228094553990438,0.9819390955470652,0.895; 0.813; 0.59; 0.913,-0.20011161471310143
"Sadeghirad, 2016",health behaviour,Diet: Unhealthy food choice,Advertising: Unhealthy food,Young children,d,0.46,0.21,0.72,8,879,72.7,0.22414769292142694,0.10442593000399553,0.33871946827274163,0.2206284644854828,0.12104483102000665,0.32021209795095895,0.05344038831573747,0.3878165406552281,8,710,47.98885815278823,NA,NA,NA,5,4.325680123830198,1.1558875961389217,0.45342655599890663,0.549; 0.566; 0.504; 0.762; 0.39; 0.539; 0.45; 0.565,0.2206284644854828
"Sadeghirad, 2016",health behaviour,Diet: Unhealthy food choice,Advertising: Unhealthy food,Mixed,rr,1.1,1,1.23,8,1648,27.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sadeghirad, 2016",health behaviour,Diet: Unhealthy food choice,Advertising: Unhealthy food,Mixed,d,0.23,-0.04,0.5,12,2053,87.6,0.11424702291443903,-0.01999600119960014,0.24253562503633297,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
