Review ID,Reviewer,Eligibility criteria predefined and specified?,Literature search strategy comprehensive and systematic?,Dual independent screening & review?,Dual independent quality assessment?,Included studies listed with important characteristics and results of each?,Publication bias assessed?,Heterogeneity assessed?
60347,Consensus,low,low,low,unclear,low,low,low
60366,Consensus,low,high,unclear,low,low,low,low
60496,Consensus,low,high,low,low,low,low,low
60704,Consensus,low,high,high,low,low,low,low
60859,Consensus,unclear,low,low,low,low,low,low
60934,Consensus,low,high,low,unclear,low,low,low
60937,Consensus,unclear,high,low,low,low,low,low
60939,Consensus,low,high,unclear,unclear,low,low,low
61093,Consensus,unclear,low,unclear,high,low,high,high
61094,Consensus,unclear,low,high,high,low,high,high
61237,Consensus,unclear,low,low,unclear,low,low,low
61303,Consensus,low,low,low,low,low,low,low
61423,Taren,low,low,low,low,low,low,low
61424,Taren,unclear,high,high,unclear,low,low,low
61429,Consensus,unclear,low,unclear,high,high,low,low
61434,Taren,unclear,high,unclear,high,low,low,low
61435,Consensus,unclear,high,low,high,high,low,low
61441,Consensus,unclear,high,unclear,high,high,high,low
61444,Taren,unclear,low,unclear,high,low,high,low
61445,Taren,unclear,high,low,high,low,low,low
61447,Consensus,unclear,high,unclear,high,low,low,low
61448,Taren,unclear,low,unclear,high,low,low,low
61450,Taren,unclear,low,unclear,low,low,low,low
61452,Taren,unclear,low,unclear,high,low,low,low
61455,Taren,unclear,low,low,high,low,high,low
61458,Taren,unclear,low,unclear,high,low,low,low
61459,Consensus,unclear,low,unclear,high,high,low,low
61462,Taren,unclear,low,unclear,high,low,low,low
61463,Taren,unclear,high,unclear,high,low,high,low
61466,Taren,unclear,high,low,high,high,low,low
61469,Consensus,unclear,low,low,unclear,low,low,low
61471,Taren,unclear,low,unclear,high,high,low,low
61476,Consensus,unclear,high,unclear,high,high,low,low
61478,Consensus,unclear,high,high,high,high,low,low
61479,Consensus,unclear,low,unclear,high,low,low,low
61480,Consensus,unclear,low,unclear,high,low,low,low
61481,Taren,unclear,low,high,high,high,high,low
61482,Taren,unclear,high,low,unclear,low,low,low
61485,Taren,unclear,high,unclear,high,low,low,low
61486,Taren,unclear,low,unclear,high,high,low,low
61488,Consensus,unclear,low,unclear,high,low,low,low
61489,Taren,unclear,high,unclear,high,low,low,low
61490,Taren,unclear,low,unclear,high,low,low,low
61491,Consensus,unclear,high,unclear,high,low,low,low
61492,Consensus,unclear,high,unclear,high,low,low,low
