Review ID,Effect Size ID,Study-Level Available?,Value,Value - CI lower bound,Value - CI upper bound,p-value,Statistical Test,k (number of effects informing this test),Combined N,Exposure - Author Description,Plain Language - Exposure,Outcome - Author Description,Outcome Level 1,Outcome Level 2,Outcome Level 3,Outcome Plain Language Descriptor,Benefit or Risk?,Moderator Level Recoded,Moderator Category Recoded,Use Moderator,I2 calculated,Value_raw_SE,Value_raw_SD
8556,8556_136,FALSE,0.07,-0.048,0.188,-999,r = uncorrected sample-weighted mean effect size,6,1722, ,Video games: General,  ,physical health,physical health_body composition,physical health_body composition_adiposity,Body composition,Risk,overall,overall,TRUE,74.48979592,,
8556,8556_086,FALSE,-0.104,-0.128,-0.08,-999,r = uncorrected sample-weighted mean effect size,10,119942, ,Video games: General,  ,health behaviour,health behaviour_physical activity,health behaviour_physical activity,Physical activity: General,Benefit,overall,overall,TRUE,68.19787986,,
9744,9744_027,,-0.06,-0.33,0.2,-999,Cohen's D,4,218, ,Intervention: Literacy (Fast forward; in schools),  ,education,education_literacy,education_literacy_reading_expressive vocabulary,Literacy: Expressive vocabulary,Benefit,active control,study design,FALSE,,,
9744,9744_029,,-0.04,-0.33,0.25,-999,Cohen's D,3,179, ,Intervention: Literacy (Fast forward; in schools),  ,education,education_literacy,education_literacy_reading_expressive vocabulary,Literacy: Expressive vocabulary,Benefit,passive control,study design,FALSE,,,
9744,9744_031,,-0.026,-0.4,0.35,-999,Cohen's D,4,218, ,Intervention: Literacy (Fast forward; in schools),  ,education,education_literacy,education_literacy_reading_fluency,Literacy: Reading fluency,Benefit,active control,study design,FALSE,,,
9744,9744_036,,0.079,-0.09,0.25,-999,Cohen's D,4,633, ,Intervention: Literacy (Fast forward; in schools),  ,education,education_literacy,education_literacy_reading_fluency,Literacy: Reading fluency,Benefit,passive control,study design,FALSE,,,
9744,9744_025,,-0.1,-0.4,0.21,-999,Cohen's D,3,168, ,Intervention: Literacy (Fast forward; in schools),  ,education,education_literacy,education_literacy_reading_passage,Literacy: Reading passages,Benefit,active control,study design,FALSE,,,
9744,9744_037,,0.17,-0.17,0.52,-999,Cohen's D,2,129, ,Intervention: Literacy (Fast forward; in schools),  ,education,education_literacy,education_literacy_reading_passage,Literacy: Reading passages,Benefit,passive control,study design,FALSE,,,
9744,9744_032,,0.01,-0.25,0.28,-999,Cohen's D,3,179, ,Intervention: Literacy (Fast forward; in schools),  ,education,education_literacy,education_literacy_reading_receptive vocabulary,Literacy: Receptive vocabulary,Benefit,passive control,study design,FALSE,,,
9744,9744_034,,0.02,-0.27,0.31,-999,Cohen's D,4,218, ,Intervention: Literacy (Fast forward; in schools),  ,education,education_literacy,education_literacy_reading_receptive vocabulary,Literacy: Receptive vocabulary,Benefit,active control,study design,FALSE,,,
10098,10098_007,TRUE,-0.1,-0.28,0.09,0.32,mean difference,6,708, ,Intervention: Screen time reduction,  ,physical health,physical health_body composition,physical health_body composition_bmi,Body composition,Risk,overall,overall,TRUE,38,,
14058,14058_001,TRUE,-0.89,-1.67,-0.11,0.03,pooled mean difference,4,326, ,Intervention: Screen time reduction,  ,physical health,physical health_body composition,physical health_body composition_bmi,Body composition,Risk,overall,overall,TRUE,46,,
14231,14231_001,TRUE,-0.27,-0.4,-0.13,-999,mean difference,8,3962, ,Screen use: General,  ,physical health,physical health_body composition,physical health_body composition_bmi,Body composition,Risk,overall,overall,TRUE,20,,
14243,14243_003,TRUE,0.15,-0.2,0.51,0.4,Standardized mean difference,4,124, ,Intervention: Literacy (phonics; via computer),  ,education,education_literacy,education_literacy_reading_phonics,Literacy: Phonics,Benefit,overall,overall,TRUE,0,,
15101,15101_001,TRUE,-0.08,-0.25,0.08,0.31,SMD,7,588, ,Video games: Physically active,  ,physical health,physical health_body composition,physical health_body composition_weight,Body composition,Risk,overall,overall,TRUE,0,,
15690,15690_003,,0.88,0.67,1.14,0.327,or,4,12473, ,Screen use: General,  ,psychology,psychology_affect,psychology_affect_depression,Psychological health: Depression,Risk,longitudinal,study design,TRUE,90.4,,
15690,15690_028,,1.19,1.1,1.3,0,or,12,115241, ,Screen use: General,  ,psychology,psychology_affect,psychology_affect_depression,Psychological health: Depression,Risk,cross-sectional,study design,TRUE,73.8,,
15690,15690_018,TRUE,1.12,1.03,1.22,0.007,or,21,127714, ,Screen use: General,  ,psychology,psychology_affect,psychology_affect_depression,Psychological health: Depression,Risk,overall,overall,TRUE,82.5,,
15743,15743_001,,0.96,0.67,1.36,0.81,Odds Ratio IV,2,2007, ,Screen use: General,  ,physical health,physical health_cardiometabolic health,physical health_cardiometabolic health_metabolic syndrome,Cardiometabolic health: Metabolic Syndrome,Risk,diagnostic criteria cook etal,outcome,FALSE,,,
15743,15743_002,,1.03,0.75,1.42,0.84,pooled fixed effect -odd ratio,4,2261, ,Screen use: General,  ,physical health,physical health_cardiometabolic health,physical health_cardiometabolic health_metabolic syndrome,Cardiometabolic health: Metabolic Syndrome,Risk,week,timing,FALSE,24,,
15743,15743_004,,1.16,0.86,1.55,0.33,Odds Ratio IV,3,2444, ,Screen use: General,  ,physical health,physical health_cardiometabolic health,physical health_cardiometabolic health_metabolic syndrome,Cardiometabolic health: Metabolic Syndrome,Risk,high prevalence of metabolic syndrome,outcome,FALSE,65,,
15743,15743_007,,1.23,0.31,4.88,0.77,Odds Ratio IV,2,435, ,Screen use: General,  ,physical health,physical health_cardiometabolic health,physical health_cardiometabolic health_metabolic syndrome,Cardiometabolic health: Metabolic Syndrome,Risk,diagnostic criteria cook etal,outcome,FALSE,12,,
15743,15743_008,,1.71,0.69,4.26,0.25,Odds Ratio IV,3,1449, ,Screen use: General,  ,physical health,physical health_cardiometabolic health,physical health_cardiometabolic health_metabolic syndrome,Cardiometabolic health: Metabolic Syndrome,Risk,high prevalence of metabolic syndrome,outcome,FALSE,,,
15743,15743_009,,1.72,0.86,3.46,0.12,Odds Ratio IV,1,845, ,Screen use: General,  ,physical health,physical health_cardiometabolic health,physical health_cardiometabolic health_metabolic syndrome,Cardiometabolic health: Metabolic Syndrome,Risk,diagnostic criteria cook etal,outcome,FALSE,,,
15743,15743_010,,2,1.01,3.97,0.05,Odds Ratio IV,1,606, ,Screen use: General,  ,physical health,physical health_cardiometabolic health,physical health_cardiometabolic health_metabolic syndrome,Cardiometabolic health: Metabolic Syndrome,Risk,diagnostic criteria cook etal,outcome,FALSE,,,
15743,15743_011,,2.05,1.13,3.73,0.02,pooled fixed effect -odd ratio,2,1620, ,Screen use: General,  ,physical health,physical health_cardiometabolic health,physical health_cardiometabolic health_metabolic syndrome,Cardiometabolic health: Metabolic Syndrome,Risk,weekend,timing,FALSE,,,
15743,15743_005,TRUE,1.2,0.91,1.59,0.2,pooled fixed effect -odd ratio,6,3881, ,Screen use: General,  ,physical health,physical health_cardiometabolic health,physical health_cardiometabolic health_metabolic syndrome,Cardiometabolic health: Metabolic Syndrome,Risk,overall,overall,TRUE,37,,
15853,15853_027,TRUE,1.47,1.33,1.62,-999,odd ratio,24,106169, ,TV programs and movies: General,  ,physical health,physical health_body composition,physical health_body composition_overweight/obesity status,Body composition,Risk,overall,overall,TRUE,79.2,,
16404,16404_042,FALSE,0.189,0.114,0.265,-999,Cohen's d,17,5837, ,Intervention: Sesame Street,  ,psychology,psychology_cognition,psychology_cognition_attitudes,Cognition: Moral reasoning and perception of out-groups,Benefit,overall,overall,TRUE,,,
16404,16404_039,,0.066,-0.173,0.305,-999,Cohen's d,2,423, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,6,age,FALSE,,,
16404,16404_040,,0.085,-0.086,0.255,-999,Cohen's d,2,510, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,urban,region,FALSE,,,
16404,16404_041,,0.148,-0.006,0.302,-999,Cohen's d,4,1194, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,boys,gender,FALSE,,,
16404,16404_044,,0.244,0.105,0.384,-999,Cohen's d,2,506, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,rural,region,FALSE,,,
16404,16404_045,,0.25,0.09,0.409,-999,Cohen's d,3,707, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,girls,gender,FALSE,,,
16404,16404_046,,0.262,0.124,0.4,-999,Cohen's d,12,7336, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,surveys,study design,FALSE,,,
16404,16404_047,,0.266,0.168,0.364,-999,Cohen's d,21,9981, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,longitudinal,study design,TRUE,,,
16404,16404_048,,0.281,0.12,0.443,-999,Cohen's d,8,2294, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,quasi-experimental,study design,TRUE,,,
16404,16404_051,,0.221,0.121,0.321,-999,Cohen's d,15,8871, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,non-low ses groups,region,FALSE,,,
16404,16404_054,,0.413,0.255,0.57,-999,Cohen's d,9,1725, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,low ses groups,region,FALSE,,,
16404,16404_057,,0.377,0.168,0.586,-999,Cohen's d,4,1403, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,experimental,study design,TRUE,,,
16404,16404_058,,0.46,0.194,0.727,-999,Cohen's d,3,615, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,cross-sectional,study design,TRUE,,,
16404,16404_059,,0.487,0.259,0.714,-999,Cohen's d,3,498, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,5,age,FALSE,,,
16404,16404_060,,0.56,0.013,1.11,-999,Cohen's d,2,216, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,4,age,FALSE,,,
16404,16404_061,,0.579,0.332,0.825,-999,Cohen's d,1,52, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,3,age,FALSE,,,
16404,16404_052,FALSE,0.292,0.197,0.387,-999,Cohen's d,24,10596, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_general,Learning: General,Benefit,overall,overall,TRUE,,,
16404,16404_049,FALSE,0.284,0.165,0.403,-999,Cohen's d,15,7604, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_literacy and numeracy,Learning: Literacy and numeracy,Benefit,overall,overall,TRUE,,,
16404,16404_055,FALSE,0.339,0.188,0.491,-999,Cohen's d,13,7797, ,Intervention: Sesame Street,  ,education,education_learning,education_learning_learning about the world,Learning: Physical and social environment,Benefit,overall,overall,TRUE,,,
16405,16405_014,,-0.01,-0.24,0.22,-999,Z Fischer,2,76, ,TV programs and movies: General,  ,psychology,psychology_behaviour,psychology_behaviour_aggression,Aggression: Towards peers,Risk,prosocial vs. control,comparison_type,FALSE,,,
16405,16405_019,,0.2,0.09,0.3,-999,Z Fisher,7,359, ,TV programs and movies: General,  ,psychology,psychology_behaviour,psychology_behaviour_aggression,Aggression: Towards peers,Risk,prosocial vs. neutral,comparison_type,FALSE,,,
